source_url,final_url,source_path,source_query,classification,locale,crawl_status,http_status,decision_gate,disposition,target_action,target_path,canonical_path,include_in_sitemap,case_collision_id
https://www.robbewulgaert.be/onderwijs/podcast-de-leraar-denkt-over-ai,https://www.robbewulgaert.be/onderwijs/podcast-de-leraar-denkt-over-ai,/onderwijs/podcast-de-leraar-denkt-over-ai,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/podcast-de-leraar-denkt-over-ai,/onderwijs/podcast-de-leraar-denkt-over-ai,true,
https://www.robbewulgaert.be/onderwijs/project-delphi,https://www.robbewulgaert.be/onderwijs/project-delphi,/onderwijs/project-delphi,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/project-delphi,/onderwijs/project-delphi,true,
https://www.robbewulgaert.be/onderwijs/project-fijnstof,https://www.robbewulgaert.be/onderwijs/project-fijnstof,/onderwijs/project-fijnstof,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/project-fijnstof,/onderwijs/project-fijnstof,true,
https://www.robbewulgaert.be/onderwijs/project-robothand,https://www.robbewulgaert.be/onderwijs/project-robothand,/onderwijs/project-robothand,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/project-robothand,/onderwijs/project-robothand,true,
https://www.robbewulgaert.be/onderwijs/project-slimme-vuilnisbak,https://www.robbewulgaert.be/onderwijs/project-slimme-vuilnisbak,/onderwijs/project-slimme-vuilnisbak,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/project-slimme-vuilnisbak,/onderwijs/project-slimme-vuilnisbak,true,
https://www.robbewulgaert.be/onderwijs/project-wind,https://www.robbewulgaert.be/onderwijs/project-wind,/onderwijs/project-wind,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/project-wind,/onderwijs/project-wind,true,
https://www.robbewulgaert.be/onderwijs/prora-ai-in-het-vakblad-voor-leraren-oude-talen,https://www.robbewulgaert.be/onderwijs/prora-ai-in-het-vakblad-voor-leraren-oude-talen,/onderwijs/prora-ai-in-het-vakblad-voor-leraren-oude-talen,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/prora-ai-in-het-vakblad-voor-leraren-oude-talen,/onderwijs/prora-ai-in-het-vakblad-voor-leraren-oude-talen,true,
https://www.robbewulgaert.be/onderwijs/python-in-de-klas,https://www.robbewulgaert.be/onderwijs/python-in-de-klas,/onderwijs/python-in-de-klas,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/python-in-de-klas,/onderwijs/python-in-de-klas,true,
https://www.robbewulgaert.be/onderwijs/recensiesenjongerentaal,https://www.robbewulgaert.be/onderwijs/recensiesenjongerentaal,/onderwijs/recensiesenjongerentaal,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/recensiesenjongerentaal,/onderwijs/recensiesenjongerentaal,true,
https://www.robbewulgaert.be/onderwijs/roma-aeterna,https://www.robbewulgaert.be/onderwijs/roma-aeterna,/onderwijs/roma-aeterna,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/roma-aeterna,/onderwijs/roma-aeterna,true,
https://www.robbewulgaert.be/onderwijs/schrijftaken-zonder-aiaiai,https://www.robbewulgaert.be/onderwijs/schrijftaken-zonder-aiaiai,/onderwijs/schrijftaken-zonder-aiaiai,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/schrijftaken-zonder-aiaiai,/onderwijs/schrijftaken-zonder-aiaiai,true,
https://www.robbewulgaert.be/onderwijs/sensei-jouw-teacherbot,https://www.robbewulgaert.be/onderwijs/sensei-jouw-teacherbot,/onderwijs/sensei-jouw-teacherbot,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/sensei-jouw-teacherbot,/onderwijs/sensei-jouw-teacherbot,true,
https://www.robbewulgaert.be/onderwijs/social-media,https://www.robbewulgaert.be/onderwijs/social-media,/onderwijs/social-media,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/social-media,/onderwijs/social-media,true,
https://www.robbewulgaert.be/onderwijs/super-marcus,https://www.robbewulgaert.be/onderwijs/super-marcus,/onderwijs/super-marcus,,article,nl-BE,snapshotted,200,,,preserve_exact_path,/onderwijs/super-marcus,/onderwijs/super-marcus,true,
